"","PREY_sp","PREDATOR_sp"
"432","Limnogonus fossarum","Bubulcus ibis"
"433","Laccotrephes griseus","Bubulcus ibis"
"434","Laccotrephes ruber","Bubulcus ibis"
"435","Ranatra elongata","Bubulcus ibis"
"436","Ranatra filiformis","Bubulcus ibis"
"437","Ranatra varipes","Bubulcus ibis"
"438","Anisops campbelli","Bubulcus ibis"
"439","Hydrovatus confertus","Bubulcus ibis"
"440","Big fish juveniles","Bubulcus ibis"
"441","Parambassis baculis","Ardeola grayii"
"442","Aplocheilus panchax","Ardeola grayii"
"443","Badis badis","Ardeola grayii"
"444","Puntius vittatus","Ardeola grayii"
"445","Rasbora daniconius","Ardeola grayii"
"446","Pethia phutunio","Ardeola grayii"
"447","Trichogaster lalius","Ardeola grayii"
"448","Trichogaster fasciata","Ardeola grayii"
"449","Duttaphrynus melanostictus","Ardeola grayii"
"450","Duttaphrynus scaber","Ardeola grayii"
"451","Fejervarya orissaensis","Ardeola grayii"
"452","Minervarya agricola","Ardeola grayii"
"453","Minervarya pierrei","Ardeola grayii"
"454","Euphlyctis cyanophlyctis","Ardeola grayii"
"455","Hoplobatrachus tigerinus","Ardeola grayii"
"456","Hoplobatrachus crassus","Ardeola grayii"
"457","Sphaerotheca breviceps","Ardeola grayii"
"458","Sphaerotheca rolandae","Ardeola grayii"
"459","Microhyla mymensinghensis","Ardeola grayii"
"460","Uperodon systoma","Ardeola grayii"
"461","Hylarana tytleri","Ardeola grayii"
"462","Polypedates maculatus","Ardeola grayii"
"463","Diplonychus annulatus","Ardeola grayii"
"464","Diplonychus rusticus","Ardeola grayii"
"465","Aquarius adelaides","Ardeola grayii"
"466","Limnogonus fossarum","Ardeola grayii"
"467","Laccotrephes griseus","Ardeola grayii"
"468","Laccotrephes ruber","Ardeola grayii"
"469","Ranatra elongata","Ardeola grayii"
"470","Ranatra filiformis","Ardeola grayii"
"471","Ranatra varipes","Ardeola grayii"
"472","Anisops campbelli","Ardeola grayii"
"473","Hydrovatus confertus","Ardeola grayii"
"474","Macrobrachium malcolmsonii","Ardeola grayii"
"475","Macrobrachium rosenbergii","Ardeola grayii"
"476","Macrobrachium rude","Ardeola grayii"
"477","Macrobrachium equidens","Ardeola grayii"
"478","Tadploes","Ardeola grayii"
"479","Big fish juveniles","Ardeola grayii"
"480","Parambassis baculis","Nycticorax nycticorax"
"481","Aplocheilus panchax","Nycticorax nycticorax"
"482","Badis badis","Nycticorax nycticorax"
"483","Puntius vittatus","Nycticorax nycticorax"
"484","Rasbora daniconius","Nycticorax nycticorax"
"485","Pethia phutunio","Nycticorax nycticorax"
"486","Trichogaster lalius","Nycticorax nycticorax"
"487","Trichogaster fasciata","Nycticorax nycticorax"
"488","Duttaphrynus melanostictus","Nycticorax nycticorax"
"489","Duttaphrynus scaber","Nycticorax nycticorax"
"490","Fejervarya orissaensis","Nycticorax nycticorax"
"491","Minervarya agricola","Nycticorax nycticorax"
"492","Minervarya pierrei","Nycticorax nycticorax"
"493","Euphlyctis cyanophlyctis","Nycticorax nycticorax"
"494","Hoplobatrachus tigerinus","Nycticorax nycticorax"
"495","Hoplobatrachus crassus","Nycticorax nycticorax"
"496","Sphaerotheca breviceps","Nycticorax nycticorax"
"497","Sphaerotheca rolandae","Nycticorax nycticorax"
"498","Microhyla mymensinghensis","Nycticorax nycticorax"
"499","Uperodon systoma","Nycticorax nycticorax"
"500","Hylarana tytleri","Nycticorax nycticorax"
"501","Polypedates maculatus","Nycticorax nycticorax"
"502","Diplonychus annulatus","Nycticorax nycticorax"
"503","Diplonychus rusticus","Nycticorax nycticorax"
"504","Aquarius adelaides","Nycticorax nycticorax"
"505","Limnogonus fossarum","Nycticorax nycticorax"
"506","Laccotrephes griseus","Nycticorax nycticorax"
"507","Laccotrephes ruber","Nycticorax nycticorax"
"508","Ranatra elongata","Nycticorax nycticorax"
"509","Ranatra filiformis","Nycticorax nycticorax"
"510","Ranatra varipes","Nycticorax nycticorax"
"511","Anisops campbelli","Nycticorax nycticorax"
"512","Hydrovatus confertus","Nycticorax nycticorax"
"513","Big fish juveniles","Nycticorax nycticorax"
"514","Parambassis baculis","Haliaeetus leucogaster"
"515","Aplocheilus panchax","Haliaeetus leucogaster"
"516","Netuma thalassina","Haliaeetus leucogaster"
"517","Badis badis","Haliaeetus leucogaster"
"518","Mystus tengara","Haliaeetus leucogaster"
"519","Mystus vittatus","Haliaeetus leucogaster"
"520","Xenentodon cancila","Haliaeetus leucogaster"
"521","Channa punctata","Haliaeetus leucogaster"
"522","Channa striata","Haliaeetus leucogaster"
"523","Channa gachua","Haliaeetus leucogaster"
"524","Oreochromis niloticus","Haliaeetus leucogaster"
"525","Puntius vittatus","Haliaeetus leucogaster"
"526","Rasbora daniconius","Haliaeetus leucogaster"
"527","Pethia phutunio","Haliaeetus leucogaster"
"528","Glossogobius giuris","Haliaeetus leucogaster"
"529","Heteropneustes fossilis","Haliaeetus leucogaster"
"530","Macrognathus pancalus","Haliaeetus leucogaster"
"531","Mastacembelus armatus","Haliaeetus leucogaster"
"532","Notopterus notopterus","Haliaeetus leucogaster"
"533","Trichogaster lalius","Haliaeetus leucogaster"
"534","Trichogaster fasciata","Haliaeetus leucogaster"
"535","Enhydris enhydris","Haliaeetus leucogaster"
"536","Fowlea piscator","Haliaeetus leucogaster"
"537","Bungarus fasciatus","Haliaeetus leucogaster"
"538","Naja naja","Haliaeetus leucogaster"
"539","Big fish juveniles","Haliaeetus leucogaster"
"540","Enhydris enhydris","Spilornis cheela"
"541","Fowlea piscator","Spilornis cheela"
"542","Bungarus fasciatus","Spilornis cheela"
"543","Naja naja","Spilornis cheela"
"544","Parambassis baculis","Alcedo atthis"
"545","Aplocheilus panchax","Alcedo atthis"
"546","Badis badis","Alcedo atthis"
"547","Puntius vittatus","Alcedo atthis"
"548","Rasbora daniconius","Alcedo atthis"
"549","Pethia phutunio","Alcedo atthis"
"550","Trichogaster lalius","Alcedo atthis"
"551","Trichogaster fasciata","Alcedo atthis"
"552","Tadploes","Alcedo atthis"
"553","Fejervarya orissaensis","Alcedo atthis"
"554","Minervarya agricola","Alcedo atthis"
"555","Minervarya pierrei","Alcedo atthis"
"556","Microhyla mymensinghensis","Alcedo atthis"
"557","Uperodon systoma","Alcedo atthis"
"558","Hylarana tytleri","Alcedo atthis"
"559","Polypedates maculatus","Alcedo atthis"
"560","Diplonychus annulatus","Alcedo atthis"
"561","Diplonychus rusticus","Alcedo atthis"
"562","Aquarius adelaides","Alcedo atthis"
"563","Limnogonus fossarum","Alcedo atthis"
"564","Laccotrephes griseus","Alcedo atthis"
"565","Laccotrephes ruber","Alcedo atthis"
