"","PREY_sp","PREDATOR_sp"
"434","Polypedates maculatus","Microcarbo niger"
"435","Macrobrachium malcolmsonii","Microcarbo niger"
"436","Macrobrachium rosenbergii","Microcarbo niger"
"437","Macrobrachium rude","Microcarbo niger"
"438","Macrobrachium equidens","Microcarbo niger"
"439","Big fish juveniles","Microcarbo niger"
"440","Parambassis baculis","Ardea purpurea"
"441","Aplocheilus panchax","Ardea purpurea"
"442","Badis badis","Ardea purpurea"
"443","Puntius vittatus","Ardea purpurea"
"444","Rasbora daniconius","Ardea purpurea"
"445","Pethia phutunio","Ardea purpurea"
"446","Trichogaster lalius","Ardea purpurea"
"447","Trichogaster fasciata","Ardea purpurea"
"448","Enhydris enhydris","Ardea purpurea"
"449","Fowlea piscator","Ardea purpurea"
"450","Duttaphrynus melanostictus","Ardea purpurea"
"451","Duttaphrynus scaber","Ardea purpurea"
"452","Fejervarya orissaensis","Ardea purpurea"
"453","Minervarya agricola","Ardea purpurea"
"454","Minervarya pierrei","Ardea purpurea"
"455","Euphlyctis cyanophlyctis","Ardea purpurea"
"456","Hoplobatrachus tigerinus","Ardea purpurea"
"457","Hoplobatrachus crassus","Ardea purpurea"
"458","Uperodon systoma","Ardea purpurea"
"459","Polypedates maculatus","Ardea purpurea"
"460","Diplonychus annulatus","Ardea purpurea"
"461","Diplonychus rusticus","Ardea purpurea"
"462","Aquarius adelaides","Ardea purpurea"
"463","Limnogonus fossarum","Ardea purpurea"
"464","Laccotrephes griseus","Ardea purpurea"
"465","Laccotrephes ruber","Ardea purpurea"
"466","Ranatra elongata","Ardea purpurea"
"467","Ranatra filiformis","Ardea purpurea"
"468","Ranatra varipes","Ardea purpurea"
"469","Anisops campbelli","Ardea purpurea"
"470","Hydrovatus confertus","Ardea purpurea"
"471","Big fish juveniles","Ardea purpurea"
"472","Parambassis baculis","Ardea alba"
"473","Aplocheilus panchax","Ardea alba"
"474","Badis badis","Ardea alba"
"475","Puntius vittatus","Ardea alba"
"476","Rasbora daniconius","Ardea alba"
"477","Pethia phutunio","Ardea alba"
"478","Trichogaster lalius","Ardea alba"
"479","Trichogaster fasciata","Ardea alba"
"480","Duttaphrynus melanostictus","Ardea alba"
"481","Duttaphrynus scaber","Ardea alba"
"482","Fejervarya orissaensis","Ardea alba"
"483","Minervarya agricola","Ardea alba"
"484","Minervarya pierrei","Ardea alba"
"485","Euphlyctis cyanophlyctis","Ardea alba"
"486","Hoplobatrachus tigerinus","Ardea alba"
"487","Hoplobatrachus crassus","Ardea alba"
"488","Uperodon systoma","Ardea alba"
"489","Polypedates maculatus","Ardea alba"
"490","Diplonychus annulatus","Ardea alba"
"491","Diplonychus rusticus","Ardea alba"
"492","Aquarius adelaides","Ardea alba"
"493","Limnogonus fossarum","Ardea alba"
"494","Laccotrephes griseus","Ardea alba"
"495","Laccotrephes ruber","Ardea alba"
"496","Ranatra elongata","Ardea alba"
"497","Ranatra filiformis","Ardea alba"
"498","Ranatra varipes","Ardea alba"
"499","Anisops campbelli","Ardea alba"
"500","Hydrovatus confertus","Ardea alba"
"501","Big fish juveniles","Ardea alba"
"502","Parambassis baculis","Ardea intermedia"
"503","Aplocheilus panchax","Ardea intermedia"
"504","Badis badis","Ardea intermedia"
"505","Puntius vittatus","Ardea intermedia"
"506","Rasbora daniconius","Ardea intermedia"
"507","Pethia phutunio","Ardea intermedia"
"508","Trichogaster lalius","Ardea intermedia"
"509","Trichogaster fasciata","Ardea intermedia"
"510","Duttaphrynus melanostictus","Ardea intermedia"
"511","Duttaphrynus scaber","Ardea intermedia"
"512","Fejervarya orissaensis","Ardea intermedia"
"513","Minervarya agricola","Ardea intermedia"
"514","Minervarya pierrei","Ardea intermedia"
"515","Euphlyctis cyanophlyctis","Ardea intermedia"
"516","Hoplobatrachus tigerinus","Ardea intermedia"
"517","Hoplobatrachus crassus","Ardea intermedia"
"518","Uperodon systoma","Ardea intermedia"
"519","Polypedates maculatus","Ardea intermedia"
"520","Diplonychus annulatus","Ardea intermedia"
"521","Diplonychus rusticus","Ardea intermedia"
"522","Aquarius adelaides","Ardea intermedia"
"523","Limnogonus fossarum","Ardea intermedia"
"524","Laccotrephes griseus","Ardea intermedia"
"525","Laccotrephes ruber","Ardea intermedia"
"526","Ranatra elongata","Ardea intermedia"
"527","Ranatra filiformis","Ardea intermedia"
"528","Ranatra varipes","Ardea intermedia"
"529","Anisops campbelli","Ardea intermedia"
"530","Hydrovatus confertus","Ardea intermedia"
"531","Big fish juveniles","Ardea intermedia"
"532","Parambassis baculis","Egretta garzetta"
"533","Aplocheilus panchax","Egretta garzetta"
"534","Badis badis","Egretta garzetta"
"535","Puntius vittatus","Egretta garzetta"
"536","Rasbora daniconius","Egretta garzetta"
"537","Pethia phutunio","Egretta garzetta"
"538","Trichogaster lalius","Egretta garzetta"
"539","Trichogaster fasciata","Egretta garzetta"
"540","Duttaphrynus melanostictus","Egretta garzetta"
"541","Duttaphrynus scaber","Egretta garzetta"
"542","Fejervarya orissaensis","Egretta garzetta"
"543","Minervarya agricola","Egretta garzetta"
"544","Minervarya pierrei","Egretta garzetta"
"545","Euphlyctis cyanophlyctis","Egretta garzetta"
"546","Hoplobatrachus tigerinus","Egretta garzetta"
"547","Hoplobatrachus crassus","Egretta garzetta"
"548","Uperodon systoma","Egretta garzetta"
"549","Polypedates maculatus","Egretta garzetta"
"550","Diplonychus annulatus","Egretta garzetta"
"551","Diplonychus rusticus","Egretta garzetta"
"552","Aquarius adelaides","Egretta garzetta"
"553","Limnogonus fossarum","Egretta garzetta"
"554","Laccotrephes griseus","Egretta garzetta"
"555","Laccotrephes ruber","Egretta garzetta"
"556","Ranatra elongata","Egretta garzetta"
"557","Ranatra filiformis","Egretta garzetta"
